county,fe_county
6065,-0.02470914359286441
6037,-0.026889629879842586
6059,-0.027500660018918714
6107,-0.027024689352713738
6019,-0.025616467622691055
6077,-0.02607630739297599
6089,-0.027405467264875426
6081,-0.02833058370023205
0,-0.027307151043432534
6079,-0.028392787094763405
6001,-0.026941426253028134
6111,-0.02711202878301677
6073,-0.02714739323481952
6013,-0.02648854161811865
6083,-0.028253533363547353
6047,-0.026562108151020548
6099,-0.026398187364707774
6061,-0.026066265221773317
6071,-0.02612047962376002
6097,-0.02741935307283719
6017,-0.02435650704978897
6085,-0.027994476430965864
6067,-0.02671171572994245
6095,-0.02618704910783021
6075,-0.02863306125697437
6029,-0.02298783053598676
6023,-0.027631098734082503
6113,-0.026676920180261306
6087,-0.028031859653023027
6025,-0.024862824731341004
6055,-0.026108990244435706
6041,-0.027314936871639713
6007,-0.02395741006682531
6053,-0.02777483368136319
6039,-0.023598471925101887
6031,-0.020026494229170532
