,0-5,5-10,10-15,15-20,20-30,30-40,40-50,50-70,70-80,80-100,100-120,120-150,150<
,,,,,,,,,,,,,
Alabama,194,209,261,312,343,386,443,479,533,628,732,786,998
,,,,,,,,,,,,,
Alaska,565,607,758,907,999,1122,1289,1395,1552,1828,2128,2286,2902
,,,,,,,,,,,,,
Arizona,309,332,415,496,546,614,705,763,849,1000,1164,1250,1587
,,,,,,,,,,,,,
Arkansas,274,294,367,439,484,544,624,676,752,886,1031,1107,1406
,,,,,,,,,,,,,
California,313,337,421,503,554,623,715,774,861,1014,1180,1268,1610
,,,,,,,,,,,,,
Colorado,282,304,379,453,500,561,645,697,776,914,1064,1143,1451
,,,,,,,,,,,,,
Connecticut,715,768,960,1148,1265,1421,1632,1765,1964,2314,2693,2893,3673
,,,,,,,,,,,,,
Delaware,203,218,273,326,359,403,463,501,558,657,765,821,1043
,,,,,,,,,,,,,
District of Columbia,221,237,296,354,390,438,504,545,606,714,831,893,1134
,,,,,,,,,,,,,
Florida,450,484,604,723,796,894,1027,1111,1237,1457,1696,1821,2313
,,,,,,,,,,,,,
Georgia,415,446,557,666,734,824,947,1024,1140,1343,1563,1679,2132
,,,,,,,,,,,,,
Hawaii,110,119,148,177,195,219,252,272,303,357,416,446,567
,,,,,,,,,,,,,
Idaho,340,365,456,546,601,675,776,839,934,1100,1280,1375,1746
,,,,,,,,,,,,,
Illinois,794,854,1067,1275,1405,1578,1813,1961,2182,2571,2993,3214,4082
,,,,,,,,,,,,,
Indiana,446,479,598,716,788,886,1017,1101,1225,1443,1679,1804,2290
,,,,,,,,,,,,,
Iowa,653,702,877,1049,1155,1298,1491,1613,1794,2114,2461,2643,3356
,,,,,,,,,,,,,
Kansas,600,645,806,964,1062,1193,1370,1482,1649,1942,2261,2429,3084
,,,,,,,,,,,,,
Kentucky,384,413,516,616,679,763,876,948,1055,1243,1446,1554,1973
,,,,,,,,,,,,,
Louisiana,203,218,273,326,359,403,463,501,558,657,765,821,1043
,,,,,,,,,,,,,
Maine,529,569,711,850,937,1052,1209,1308,1455,1714,1995,2143,2721
,,,,,,,,,,,,,
Maryland,415,446,557,666,734,824,947,1024,1140,1343,1563,1679,2132
,,,,,,,,,,,,,
Massachusetts,468,503,628,751,827,929,1068,1155,1285,1514,1762,1893,2404
,,,,,,,,,,,,,
Michigan,799,859,1073,1282,1413,1587,1823,1972,2195,2585,3009,3232,4104
,,,,,,,,,,,,,
Minnesota,485,522,652,779,859,965,1108,1199,1334,1571,1829,1964,2494
,,,,,,,,,,,,,
Mississippi,322,346,433,517,570,640,735,795,885,1043,1214,1304,1655
,,,,,,,,,,,,,
Missouri,490,527,658,786,866,973,1118,1210,1346,1585,1846,1982,2517
,,,,,,,,,,,,,
Montana,384,413,516,616,679,763,876,948,1055,1243,1446,1554,1973
,,,,,,,,,,,,,
Nebraska,878,944,1179,1410,1553,1745,2004,2168,2413,2842,3309,3554,4512
,,,,,,,,,,,,,
Nevada,353,379,474,567,624,701,806,872,970,1143,1330,1429,1814
,,,,,,,,,,,,,
New Hampshire,851,915,1144,1367,1507,1692,1944,2103,2340,2757,3209,3447,4376
,,,,,,,,,,,,,
New Jersey,869,934,1167,1396,1538,1727,1984,2147,2389,2814,3275,3518,4467
,,,,,,,,,,,,,
New Mexico,309,332,415,496,546,614,705,763,849,1000,1164,1250,1587
,,,,,,,,,,,,,
New York,666,716,895,1070,1179,1324,1521,1645,1831,2157,2511,2697,3424
,,,,,,,,,,,,,
North Carolina,375,403,504,602,664,745,856,926,1031,1214,1413,1518,1927
,,,,,,,,,,,,,
North Dakota,768,825,1031,1233,1358,1526,1752,1896,2110,2485,2893,3107,3946
,,,,,,,,,,,,,
Ohio,697,749,936,1119,1233,1385,1591,1722,1916,2257,2627,2822,3583
,,,,,,,,,,,,,
Oklahoma,424,455,569,680,749,842,967,1046,1164,1371,1596,1714,2177
,,,,,,,,,,,,,
Oregon,410,441,551,659,726,815,937,1013,1128,1328,1546,1661,2109
,,,,,,,,,,,,,
Pennsylvania,644,693,865,1034,1140,1280,1470,1591,1770,2085,2427,2607,3311
,,,,,,,,,,,,,
Rhode Island,600,645,806,964,1062,1193,1370,1482,1649,1942,2261,2429,3084
,,,,,,,,,,,,,
South Carolina,247,266,332,397,437,491,564,610,679,800,931,1000,1270
,,,,,,,,,,,,,
South Dakota,631,678,847,1013,1116,1254,1440,1558,1734,2042,2378,2554,3243
,,,,,,,,,,,,,
Tennessee,393,422,527,631,695,780,896,970,1079,1271,1480,1589,2018
,,,,,,,,,,,,,
Texas,904,972,1215,1452,1600,1798,2065,2234,2486,2928,3408,3661,4649
,,,,,,,,,,,,,
Utah,287,308,385,461,507,570,655,708,788,928,1081,1161,1474
,,,,,,,,,,,,,
Vermont,715,768,960,1148,1265,1421,1632,1765,1964,2314,2693,2893,3673
,,,,,,,,,,,,,
Virginia,388,417,521,623,687,772,886,959,1067,1257,1463,1571,1995
,,,,,,,,,,,,,
Washington,424,455,569,680,749,842,967,1046,1164,1371,1596,1714,2177
,,,,,,,,,,,,,
West Virginia,265,285,356,425,468,526,604,654,727,857,998,1071,1361
,,,,,,,,,,,,,
Wisconsin,851,915,1144,1367,1507,1692,1944,2103,2340,2757,3209,3447,4376
,,,,,,,,,,,,,
Wyoming,278,299,373,446,492,552,635,686,764,900,1047,1125,1429
