county,fe_county
0,-0.03836425102076451
6113,-0.03743169079348581
6013,-0.03601862236001715
6081,-0.0392526043889377
6071,-0.036611011230051914
6059,-0.03900104098513862
6067,-0.03644203910280146
6029,-0.034940278704789225
6107,-0.0384748176848536
6065,-0.03532666380085336
6085,-0.038200997891551985
6001,-0.03691474532346258
6037,-0.038030958291633464
6053,-0.03842715298178064
6079,-0.038443000894155664
6023,-0.04105857809709826
6077,-0.03525089620851217
6087,-0.03909405838023556
6111,-0.03843142874163928
6075,-0.039261016021440574
6073,-0.038645273367205274
6019,-0.03758891661867655
6099,-0.03648671369364264
6061,-0.036342174398361314
6095,-0.03684932634984548
6031,-0.038031065914430943
6017,-0.037752214829696
6097,-0.03891462974011203
6041,-0.03799973766013715
6007,-0.038185959084617194
6089,-0.03909386907157895
6025,-0.036905336611563096
6083,-0.03991714636411364
6047,-0.03667577685169629
6039,-0.0381364371027834
6055,-0.03825636127904543
